Nr.  	Status	Compiled instruction                                      	Bytecodes (hex)                                               	Disassembled to                                           
 1202	OK    	XOR OPQR, (STU)                                           	0F, 4D, D2                                                    	XOR OPQR, (STU)                                           
 1203	OK    	XOR PQR, QRS                                              	0F, 15, F0                                                    	XOR PQR, QRS                                              
 1204	OK    	XOR QR, 0x6643                                            	0F, 08, 10, 66, 43                                            	XOR QR, 0x6643                                            
 1205	OK    	XOR QR, BC                                                	0F, 0E, 01                                                    	XOR QR, BC                                                
 1206	OK    	XOR RSTU, (0x75D36E)                                      	0F, 7C, 11, 75, D3, 6E                                        	XOR RSTU, (0x75D36E)                                      
 1207	OK    	XOR T, 0x00                                               	0F, 00, 13, 00                                                	XOR T, 0x00                                               
 1208	OK    	XOR UV, (OPQ)                                             	0F, 46, 8E                                                    	XOR UV, (OPQ)                                             
 1209	OK    	XOR V, (0x0FA476)                                         	0F, 70, 15, 0F, A4, 76                                        	XOR V, (0x0FA476)                                         
 1210	OK    	XOR V, M                                                  	0F, 06, AC                                                    	XOR V, M                                                  
 1211	OK    	XOR16 (0x1241C3), 0x73B4                                  	0F, 54, 12, 41, C3, 73, B4                                    	XOR16 (0x1241C3), 0x73B4                                  
 1212	OK    	XOR16 (GHI), 0x20F2                                       	0F, 24, 06, 20, F2                                            	XOR16 (GHI), 0x20F2                                       
 1213	OK    	XOR24 (0x100B77), 0x767E33                                	0F, 58, 10, 0B, 77, 76, 7E, 33                                	XOR24 (0x100B77), 0x767E33                                
 1214	OK    	XOR24 (ABC), 0x4CF835                                     	0F, 28, 00, 4C, F8, 35                                        	XOR24 (ABC), 0x4CF835                                     
 1215	OK    	XOR32 (0x395F26), 0x21D7755C                              	0F, 5C, 39, 5F, 26, 21, D7, 75, 5C                            	XOR32 (0x395F26), 0x21D7755C                              
